Id: 1; Nome: Bulbasaur; Tipo: Grama, Veneno; Nível: 5; Habilidades: [Tackle (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 2; Nome: Ivysaur; Tipo: Grama, Veneno; Nível: 16; Habilidades: [Tackle (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.), Leech Seed (It drains the opponent's HP on each turn.), Vine Whip (It deals damage with no additional effects.)]
Id: 3; Nome: Venusaur; Tipo: Grama, Veneno; Nível: 32; Habilidades: [Tackle (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.), Leech Seed (It drains the opponent's HP on each turn.), Vine Whip (It deals damage with no additional effects.), Razor Leaf (It has a high critical hit ratio.)]
Id: 4; Nome: Charmander; Tipo: Fogo; Nível: 5; Habilidades: [Growl (Growl lowers the target's Attack by one stage.), Scratch (It deals damage with no additional effects.)]
Id: 5; Nome: Charmeleon; Tipo: Fogo; Nível: 16; Habilidades: [Growl (Growl lowers the target's Attack by one stage.), Scratch (It deals damage with no additional effects.), Ember (It deals damage and has a 10% chance to burn the target.)]
Id: 6; Nome: Charizard; Tipo: Fogo, Voador; Nível: 36; Habilidades: [Growl (Growl lowers the target's Attack by one stage.), Scratch (It deals damage with no additional effects.), Ember (It deals damage and has a 10% chance to burn the target.), Fire Spin (It traps the target in a vortex of fire for 2-5 turns.)]
Id: 7; Nome: Squirtle; Tipo: �?gua; Nível: 5; Habilidades: [Tackle (It deals damage with no additional effects.), Tail Whip (Tail Whip lowers the target's Defense by one stage.)]
Id: 8; Nome: Wartortle; Tipo: �?gua; Nível: 16; Habilidades: [Tackle (It deals damage with no additional effects.), Tail Whip (Tail Whip lowers the target's Defense by one stage.), Bubble (It deals damage and has a 10% chance to lower the target's speed.)]
Id: 9; Nome: Blastoise; Tipo: �?gua; Nível: 36; Habilidades: [Tackle (It deals damage with no additional effects.), Tail Whip (Tail Whip lowers the target's Defense by one stage.), Bubble (It deals damage and has a 10% chance to lower the target's speed.), Water Gun (It deals damage with no additional effects.)]
Id: 10; Nome: Caterpie; Tipo: Inseto; Nível: 3; Habilidades: [Tackle (It deals damage with no additional effects.), String Shot (String Shot lowers the target's speed.)]
Id: 11; Nome: Metapod; Tipo: Inseto; Nível: 7; Habilidades: [Harden (Harden raises the user's Defense by one stage.)]
Id: 12; Nome: Butterfree; Tipo: Inseto, Voador; Nível: 10; Habilidades: [Confusion (It deals damage and has a 10% chance to confuse the target.), Supersonic (Supersonic confuses the target.)]
Id: 13; Nome: Weedle; Tipo: Inseto, Veneno; Nível: 3; Habilidades: [Poison Sting (It deals damage and has a 30% chance to poison the target.), String Shot (String Shot lowers the target's speed.)]
Id: 14; Nome: Kakuna; Tipo: Inseto, Veneno; Nível: 7; Habilidades: [Harden (Harden raises the user's Defense by one stage.)]
Id: 15; Nome: Beedrill; Tipo: Inseto, Veneno; Nível: 10; Habilidades: [Fury Attack (It hits 2-5 times in one turn.), Twineedle (It hits twice and has a 20% chance to poison the target.)]
Id: 16; Nome: Pidgey; Tipo: Normal, Voador; Nível: 5; Habilidades: [Tackle (It deals damage with no additional effects.), Sand Attack (Sand Attack lowers the target's accuracy.)]
Id: 17; Nome: Pidgeotto; Tipo: Normal, Voador; Nível: 18; Habilidades: [Tackle (It deals damage with no additional effects.), Sand Attack (Sand Attack lowers the target's accuracy.), Gust (It deals damage with no additional effects.)]
Id: 18; Nome: Pidgeot; Tipo: Normal, Voador; Nível: 36; Habilidades: [Tackle (It deals damage with no additional effects.), Sand Attack (Sand Attack lowers the target's accuracy.), Gust (It deals damage with no additional effects.), Wing Attack (It deals damage with no additional effects.)]
Id: 19; Nome: Rattata; Tipo: Normal; Nível: 5; Habilidades: [Tackle (It deals damage with no additional effects.), Tail Whip (Tail Whip lowers the target's Defense by one stage.)]
Id: 20; Nome: Raticate; Tipo: Normal; Nível: 20; Habilidades: [Tackle (It deals damage with no additional effects.), Tail Whip (Tail Whip lowers the target's Defense by one stage.), Quick Attack (It has increased priority.)]
Id: 21; Nome: Spearow; Tipo: Normal, Voador; Nível: 5; Habilidades: [Peck (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 22; Nome: Fearow; Tipo: Normal, Voador; Nível: 20; Habilidades: [Peck (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.), Fury Attack (It hits 2-5 times in one turn.)]
Id: 23; Nome: Ekans; Tipo: Veneno; Nível: 5; Habilidades: [Wrap (It traps the target in a constriction for 2-5 turns.), Leer (Leer lowers the target's Defense by one stage.)]
Id: 24; Nome: Arbok; Tipo: Veneno; Nível: 22; Habilidades: [Wrap (It traps the target in a constriction for 2-5 turns.), Leer (Leer lowers the target's Defense by one stage.), Poison Sting (It deals damage and has a 30% chance to poison the target.)]
Id: 25; Nome: Pikachu; Tipo: Elétrico; Nível: 5; Habilidades: [Thundershock (It deals damage and has a 10% chance to paralyze the target.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 26; Nome: Raichu; Tipo: Elétrico; Nível: 22; Habilidades: [Thundershock (It deals damage and has a 10% chance to paralyze the target.), Growl (Growl lowers the target's Attack by one stage.), Thunderbolt (It deals damage and has a 10% chance to paralyze the target.)]
Id: 27; Nome: Sandshrew; Tipo: Terrestre; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Defense Curl (Defense Curl raises the user's Defense by one stage.)]
Id: 28; Nome: Sandslash; Tipo: Terrestre; Nível: 22; Habilidades: [Scratch (It deals damage with no additional effects.), Defense Curl (Defense Curl raises the user's Defense by one stage.), Sand Attack (Sand Attack lowers the target's accuracy.)]
Id: 29; Nome: Nidoran♀; Tipo: Veneno; Nível: 5; Habilidades: [Growl (Growl lowers the target's Attack by one stage.), Scratch (It deals damage with no additional effects.)]
Id: 30; Nome: Nidorina; Tipo: Veneno; Nível: 16; Habilidades: [Growl (Growl lowers the target's Attack by one stage.), Scratch (It deals damage with no additional effects.), Poison Sting (It deals damage and has a 30% chance to poison the target.)]
Id: 31; Nome: Nidoqueen; Tipo: Veneno, Terrestre; Nível: 20; Habilidades: [Body Slam (It deals damage and has a 30% chance to paralyze the target.), Poison Sting (It deals damage and has a 30% chance to poison the target.)]
Id: 32; Nome: Nidoran♂; Tipo: Veneno; Nível: 5; Habilidades: [Leer (Leer lowers the target's Defense by one stage.), Tackle (It deals damage with no additional effects.)]
Id: 33; Nome: Nidorino; Tipo: Veneno; Nível: 16; Habilidades: [Leer (Leer lowers the target's Defense by one stage.), Tackle (It deals damage with no additional effects.), Poison Sting (It deals damage and has a 30% chance to poison the target.)]
Id: 34; Nome: Nidoking; Tipo: Veneno, Terrestre; Nível: 20; Habilidades: [Thrash (It hits for 2-3 turns and confuses the user.), Poison Sting (It deals damage and has a 30% chance to poison the target.)]
Id: 35; Nome: Clefairy; Tipo: Normal; Nível: 5; Habilidades: [Pound (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 36; Nome: Clefable; Tipo: Normal; Nível: 20; Habilidades: [Metronome (It randomly uses any move in the game.), Sing (It puts the target to sleep.)]
Id: 37; Nome: Vulpix; Tipo: Fogo; Nível: 5; Habilidades: [Ember (It deals damage and has a 10% chance to burn the target.), Tail Whip (Tail Whip lowers the target's Defense by one stage.)]
Id: 38; Nome: Ninetales; Tipo: Fogo; Nível: 22; Habilidades: [Ember (It deals damage and has a 10% chance to burn the target.), Tail Whip (Tail Whip lowers the target's Defense by one stage.), Fire Spin (It traps the target in a vortex of fire for 2-5 turns.)]
Id: 39; Nome: Jigglypuff; Tipo: Normal; Nível: 5; Habilidades: [Sing (It puts the target to sleep.), Pound (It deals damage with no additional effects.)]
Id: 40; Nome: Wigglytuff; Tipo: Normal; Nível: 20; Habilidades: [Sing (It puts the target to sleep.), Pound (It deals damage with no additional effects.), Double-Edge (It deals damage and the user receives recoil damage.)]
Id: 41; Nome: Zubat; Tipo: Veneno, Voador; Nível: 5; Habilidades: [Leech Life (It drains half of the damage it deals in HP.), Supersonic (Supersonic confuses the target.)]
Id: 42; Nome: Golbat; Tipo: Veneno, Voador; Nível: 22; Habilidades: [Leech Life (It drains half of the damage it deals in HP.), Supersonic (Supersonic confuses the target.), Bite (It deals damage and has a 10% chance to make the target flinch.)]
Id: 43; Nome: Oddish; Tipo: Grama, Veneno; Nível: 5; Habilidades: [Absorb (It drains half of the damage it deals in HP.), Leech Seed (It drains the opponent's HP on each turn.)]
Id: 44; Nome: Gloom; Tipo: Grama, Veneno; Nível: 21; Habilidades: [Absorb (It drains half of the damage it deals in HP.), Leech Seed (It drains the opponent's HP on each turn.), Acid (It deals damage and has a 10% chance to lower the target's Defense.)]
Id: 45; Nome: Vileplume; Tipo: Grama, Veneno; Nível: 30; Habilidades: [Petal Dance (It hits for 2-3 turns and confuses the user.), Acid (It deals damage and has a 10% chance to lower the target's Defense.)]
Id: 46; Nome: Paras; Tipo: Inseto, Grama; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Stun Spore (It has a 75% chance to paralyze the target.)]
Id: 47; Nome: Parasect; Tipo: Inseto, Grama; Nível: 24; Habilidades: [Slash (It has a high critical hit ratio.), Spore (It puts the target to sleep.)]
Id: 48; Nome: Venonat; Tipo: Inseto, Veneno; Nível: 5; Habilidades: [Disable (It disables the target's last move.), Supersonic (Supersonic confuses the target.)]
Id: 49; Nome: Venomoth; Tipo: Inseto, Veneno; Nível: 31; Habilidades: [Psybeam (It deals damage and has a 10% chance to confuse the target.), Stun Spore (It has a 75% chance to paralyze the target.)]
Id: 50; Nome: Diglett; Tipo: Terrestre; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 51; Nome: Dugtrio; Tipo: Terrestre; Nível: 26; Habilidades: [Dig (The user burrows underground on the first turn and attacks on the second.), Slash (It has a high critical hit ratio.)]
Id: 52; Nome: Meowth; Tipo: Normal; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Growl (Growl lowers the target's Attack by one stage.)]
Id: 53; Nome: Persian; Tipo: Normal; Nível: 28; Habilidades: [Bite (It deals damage and has a 10% chance to make the target flinch.), Slash (It has a high critical hit ratio.)]
Id: 54; Nome: Psyduck; Tipo: �?gua; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Water Gun (It deals damage with no additional effects.)]
Id: 55; Nome: Golduck; Tipo: �?gua; Nível: 33; Habilidades: [Psybeam (It deals damage and has a 10% chance to confuse the target.), Confusion (It deals damage and has a 10% chance to confuse the target.)]
Id: 56; Nome: Mankey; Tipo: Lutador; Nível: 5; Habilidades: [Scratch (It deals damage with no additional effects.), Leer (Leer lowers the target's Defense by one stage.)]
Id: 57; Nome: Primeape; Tipo: Lutador; Nível: 28; Habilidades: [Rage (The user's Attack increases each time it is hit.), Karate Chop (It has a high critical hit ratio.)]
